lat,long,year,code,value
-40.9070, 174.9840,2000,01,95.0
-40.9070, 174.9840,2000,01,95.0
-40.9070, 174.9840,2000,02,13.1
-40.9070, 174.9840,2000,02,13.2
-40.9070, 174.9840,2000,03,17.2
-40.9070, 174.9840,2000,03,17.0
-40.9070, 174.9840,2000,04,9.2
-40.9070, 174.9840,2000,04,9.2
-40.9070, 174.9840,2000,09,2063.8
-41.1350, 175.0520,2000,01,122.0
-41.1350, 175.0520,2000,02,12.5
-41.1350, 175.0520,2000,03,17.4
-41.1350, 175.0520,2000,04,7.7
-41.1350, 175.0530,2000,01,107.0
-41.1350, 175.0530,2000,02,12.7
-41.1350, 175.0530,2000,03,17.4
-41.1350, 175.0530,2000,04,8.0
-41.2860, 174.7670,2000,01,114.0
-41.2860, 174.7670,2000,02,13.1
-41.2860, 174.7670,2000,03,16.0
-41.2860, 174.7670,2000,04,10.2
-41.2860, 174.7670,2000,09,2171.8
-40.9070, 174.9840,2001,01,111.0
-40.9070, 174.9840,2001,01,110.0
-40.9070, 174.9840,2001,02,13.4
-40.9070, 174.9840,2001,02,13.4
-40.9070, 174.9840,2001,03,17.2
-40.9070, 174.9840,2001,03,17.4
-40.9070, 174.9840,2001,04,9.4
-40.9070, 174.9840,2001,04,9.5
-40.9070, 174.9840,2001,09,2008.6
-41.1350, 175.0520,2001,01,124.0
-41.1350, 175.0520,2001,02,13.0
-41.1350, 175.0520,2001,03,17.7
-41.1350, 175.0520,2001,04,8.2
-41.1350, 175.0520,2001,09,1999.5
-41.1350, 175.0530,2001,01,105.0
-41.1350, 175.0530,2001,02,13.1
-41.1350, 175.0530,2001,03,17.9
-41.1350, 175.0530,2001,04,8.3
-41.2860, 174.7670,2001,01,108.0
-41.2860, 174.7670,2001,02,13.4
-41.2860, 174.7670,2001,03,16.5
-41.2860, 174.7670,2001,04,10.3
-41.2860, 174.7670,2001,09,2091.4
-40.9070, 174.9840,2002,01,113.0
-40.9070, 174.9840,2002,01,120.0
-40.9070, 174.9840,2002,02,13.1
-40.9070, 174.9840,2002,02,13.2
-40.9070, 174.9840,2002,03,16.8
-40.9070, 174.9840,2002,03,16.8
-40.9070, 174.9840,2002,04,9.6
-40.9070, 174.9840,2002,04,9.4
-40.9070, 174.9840,2002,09,2076.0
-41.1350, 175.0520,2002,01,142.0
-41.1350, 175.0520,2002,02,12.6
-41.1350, 175.0520,2002,03,17.0
-41.1350, 175.0520,2002,04,8.1
-41.1350, 175.0520,2002,09,1900.5
-41.1350, 175.0530,2002,01,128.0
-41.2520, 175.3900,2002,01,102.0
-41.2520, 175.3900,2002,09,1985.0
-41.2860, 174.7670,2002,01,124.0
-41.2860, 174.7670,2002,02,12.9
-41.2860, 174.7670,2002,03,16.0
-41.2860, 174.7670,2002,04,9.8
-41.2860, 174.7670,2002,09,2105.2
-40.9070, 174.9840,2003,01,90.0
-40.9070, 174.9840,2003,01,88.0
-40.9070, 174.9840,2003,02,13.3
-40.9070, 174.9840,2003,02,13.3
-40.9070, 174.9840,2003,03,17.3
-40.9070, 174.9840,2003,03,17.3
-40.9070, 174.9840,2003,04,9.2
-40.9070, 174.9840,2003,04,9.3
-40.9070, 174.9840,2003,09,2253.4
-41.1350, 175.0530,2003,01,110.0
-41.1350, 175.0530,2003,02,12.5
-41.1350, 175.0530,2003,03,17.4
-41.1350, 175.0530,2003,04,7.5
-41.2520, 175.3900,2003,01,88.0
-41.2860, 174.7670,2003,01,116.0
-41.2860, 174.7670,2003,02,13.1
-41.2860, 174.7670,2003,03,16.3
-41.2860, 174.7670,2003,04,9.8
-41.2860, 174.7670,2003,09,2271.4
-40.9070, 174.9840,2004,01,131.0
-40.9070, 174.9840,2004,01,132.0
-40.9070, 174.9840,2004,02,12.7
-40.9070, 174.9840,2004,02,12.7
-40.9070, 174.9840,2004,03,16.2
-40.9070, 174.9840,2004,03,16.3
-40.9070, 174.9840,2004,04,9.0
-40.9070, 174.9840,2004,04,9.2
-40.9070, 174.9840,2004,09,1999.2
-41.1350, 175.0530,2004,01,140.0
-41.1350, 175.0530,2004,02,12.1
-41.1350, 175.0530,2004,03,16.5
-41.1350, 175.0530,2004,04,7.6
-41.1350, 175.0530,2004,09,1656.3
-41.2520, 175.3900,2004,01,128.0
-41.2520, 175.3900,2004,02,12.5
-41.2520, 175.3900,2004,03,17.4
-41.2520, 175.3900,2004,04,7.7
-41.2520, 175.3900,2004,09,1976.3
-41.2860, 174.7670,2004,01,128.0
-41.2860, 174.7670,2004,02,12.4
-41.2860, 174.7670,2004,03,15.3
-41.2860, 174.7670,2004,04,9.5
-41.2860, 174.7670,2004,09,2073.2
-40.9070, 174.9840,2005,01,92.0
-40.9070, 174.9840,2005,01,84.0
-40.9070, 174.9840,2005,02,13.6
-40.9070, 174.9840,2005,02,13.6
-40.9070, 174.9840,2005,03,17.4
-40.9070, 174.9840,2005,03,17.6
-40.9070, 174.9840,2005,04,9.8
-40.9070, 174.9840,2005,04,9.6
-40.9070, 174.9840,2005,09,2162.5
-41.1350, 175.0520,2005,09,2146.6
-41.1350, 175.0530,2005,01,104.0
-41.1350, 175.0530,2005,02,13.1
-41.1350, 175.0530,2005,03,17.9
-41.1350, 175.0530,2005,04,8.4
-41.1350, 175.0530,2005,09,1824.8
-41.2520, 175.3900,2005,01,105.0
-41.2520, 175.3900,2005,02,13.5
-41.2520, 175.3900,2005,03,18.8
-41.2520, 175.3900,2005,04,8.3
-41.2520, 175.3900,2005,09,2125.4
-41.2860, 174.7670,2005,09,2210.6
-40.9070, 174.9840,2006,01,121.0
-40.9070, 174.9840,2006,01,128.0
-40.9070, 174.9840,2006,02,12.9
-40.9070, 174.9840,2006,02,13.0
-40.9070, 174.9840,2006,03,16.4
-40.9070, 174.9840,2006,03,16.6
-40.9070, 174.9840,2006,04,9.4
-40.9070, 174.9840,2006,04,9.4
-40.9070, 174.9840,2006,09,2066.4
-41.1350, 175.0530,2006,01,141.0
-41.1350, 175.0530,2006,02,12.4
-41.1350, 175.0530,2006,03,16.8
-41.1350, 175.0530,2006,04,8.0
-41.1350, 175.0530,2006,09,1654.6
-41.2520, 175.3900,2006,01,119.0
-41.2520, 175.3900,2006,02,12.8
-41.2520, 175.3900,2006,03,17.7
-41.2520, 175.3900,2006,04,7.8
-41.2860, 174.7670,2006,09,2159.4
-40.9070, 174.9840,2007,01,85.0
-40.9070, 174.9840,2007,01,88.0
-40.9070, 174.9840,2007,02,13.5
-40.9070, 174.9840,2007,03,17.4
-40.9070, 174.9840,2007,04,9.5
-40.9070, 174.9840,2007,09,2211.3
-41.1350, 175.0530,2007,01,101.0
-41.1350, 175.0530,2007,02,12.6
-41.1350, 175.0530,2007,03,17.5
-41.1350, 175.0530,2007,04,7.7
-41.1350, 175.0530,2007,09,1808.2
-41.2520, 175.3900,2007,01,82.0
-41.2520, 175.3900,2007,02,13.0
-41.2520, 175.3900,2007,03,18.2
-41.2520, 175.3900,2007,04,7.8
-41.2860, 174.7670,2007,09,2231.1
-40.9070, 174.9840,2008,01,119.0
-40.9070, 174.9840,2008,01,112.0
-40.9070, 174.9840,2008,02,13.4
-40.9070, 174.9840,2008,02,13.7
-40.9070, 174.9840,2008,03,17.2
-40.9070, 174.9840,2008,03,17.6
-40.9070, 174.9840,2008,04,9.7
-40.9070, 174.9840,2008,04,9.7
-40.9070, 174.9840,2008,09,2163.3
